MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerBText,AnswerAText,QuestionText,MisconceptionB
985,Believes that repeated percentage change is equivalent to a single change by the sum of the percentages,Compound Percentage Change,Percentage Change,No change (0%),4% decrease,"If the price of a product increases by 20% in the first year and then decreases by 20% in the second year, what is the net percentage change in the price of the product?",Believes that repeated percentage change is equivalent to a single change by the sum of the percentages
992,"Thinks they find the length of a line between 2 points by adding coordinates, rather than subtracting",Distance formula between two points. CorrectAnswer: A.,Geometry,19,5,"What is the length of the line segment between the points (3, 4) and (7, 9)?","Thinks they find the length of a line between 2 points by adding coordinates, rather than subtracting."
993,Believes the length of the arms influence the size of the angle,Angle sum property of a triangle. CorrectAnswer: A.,Geometry.,45 degrees.,60 degrees.,"In a right triangle, if one of the acute angles is 30 degrees, what is the measure of the other acute angle?",Believes the length of the arms influence the size of the angle.
995,Believes the lowest common multiple is found my multiplying the numbers together,Lowest Common Multiple (LCM),Number Theory,96,24,What is the lowest common multiple (LCM) of 8 and 12?,Believes the lowest common multiple is found by multiplying the numbers together.
998,"When the final stage of solving a problem is ""variable to a power"" = constant, assume the constant is the answer, without finding the root.",Solving equations involving powers. CorrectAnswer: A. ,Algebra,\( x = 8 \),\( x = 2 \),Solve for \( x \) in the equation \( x^3 = 8 \).,"When the final stage of solving a problem is ""variable to a power"" = constant, assume the constant is the answer, without finding the root."
999,Confuses the method of selection with the group selected in statistics,Sampling Methods. CorrectAnswer: A.,Statistics,Selecting the first 100 students who arrive at school on a given day.,Randomly selecting 100 students from the list of all 1000 students.,"In a survey, a researcher wants to select a sample of 100 students from a school of 1000 students. Which of the following methods ensures that every student has an equal chance of being selected?",Confuses the method of selection with the group selected in statistics.
1000,Draws false conclusion from a pie chart,Interpreting Pie Charts,Statistics and Probability,"Yes, the conclusion is correct.","No, the conclusion is incorrect.","A pie chart shows the distribution of students in a class based on their favorite subjects. If 40% of the pie chart is labeled as ""Mathematics,"" and a student concludes that more than half of the class prefers Mathematics, is this conclusion correct?",A misconception you are given. (The student incorrectly assumes that 40% is more than half of the class.)
1001,Does not know how to divide a fraction by an integer,Dividing a fraction by an integer. CorrectAnswer: A.,Arithmetic,\(\frac{6}{4}\),\(\frac{3}{8}\),What is the result of dividing the fraction \(\frac{3}{4}\) by the integer 2?,Does not know how to divide a fraction by an integer
1002,Thinks the elevation is the plan view of a shape,Surface Area of Rectangular Prisms CorrectAnswer: A.,Geometry,120 cm²,148 cm²,What is the surface area of a rectangular prism with dimensions 4 cm by 5 cm by 6 cm?,Thinks the elevation is the plan view of a shape
1003,"Believes the equation of a vertical line is in the form y = ax, where a is the x intercept",Equations of vertical lines. CorrectAnswer: A. ,Algebra,y = 3,x = 3,"What is the equation of a vertical line that passes through the point (3, 5)?","Believes the equation of a vertical line is in the form y = ax, where a is the x intercept."
1005,"Carries out operations from left to right regardless of priority order, unless brackets are used",Order of Operations (PEMDAS/BODMAS),Arithmetic Operations,14,10,What is the value of the expression \( 4 + 3 \times 2 \)?,"Carries out operations from left to right regardless of priority order, unless brackets are used."
1006,Believes the mean is something divided by the number of categories given,Calculation of the Mean,Statistics,15,16.5,"What is the mean of the numbers 12, 15, 18, and 21?",Believes the mean is something divided by the number of categories given
1010,Believes the largest number in a set of numbers is always their highest common factor,Highest Common Factor (HCF),Number Theory,24,6,"What is the highest common factor (HCF) of the numbers 12, 18, and 24?",Believes the largest number in a set of numbers is always their highest common factor
1011,Does not know the distributive property,Distributive Property,Algebra,\( 3x + 4 \),\( 3x + 12 \),Simplify the expression \( 3(x + 4) \).,Does not know the distributive property
1014,Believes the frequency of the midpoint of a group is half the total frequency of the group,Frequency Distribution,Statistics,25,50,"In a frequency distribution table, if the total frequency is 100, what is the frequency of the midpoint of a group?",Believes the frequency of the midpoint of a group is half the total frequency of the group.
1015,"When answering questions regarding adding items to get a new ratio, looks at the difference between the numbers in the original and new ratio rather than finding the size of a part",Solving ratio problems by setting up and solving equations.,Ratios and Proportions,9,15,"A bag contains red and blue marbles in the ratio 3:4. If 12 red marbles are added to the bag, the new ratio of red to blue marbles becomes 5:4. How many red marbles were originally in the bag?","When answering questions regarding adding items to get a new ratio, looks at the difference between the numbers in the original and new ratio rather than finding the size of a part."
1019,Believes class width = frequency density,Frequency density and class width in histograms. CorrectAnswer: A.,Statistics,2.5,10,"In a histogram, if the frequency density for a class is 5 and the class width is 2, what is the frequency of that class?",Believes class width = frequency density
1020,Believes it's not possible to solve simultaneous equations graphically,Solving systems of linear equations graphically. CorrectAnswer: A. ,Algebra,It's not possible to solve simultaneous equations graphically.,"The solution is the point where the two lines intersect, which is \( ( \frac{2}{3}, \frac{13}{3} ) \).",How can you solve the system of equations \( y = 2x + 3 \) and \( y = -x + 5 \) graphically?,Believes it's not possible to solve simultaneous equations graphically.
1021,Believes an outlier is not determined by distance from the mean,Identifying Outliers,Statistics,15,100,"What is the outlier in the following data set: 10, 12, 14, 15, 100?",Believes an outlier is not determined by distance from the mean.
1023,Believes that the complement of a set in a triple Venn consists of the elements that only belong to one other set,Complement of a Set in a Venn Diagram,Set Theory,"Elements that only belong to set B or set C, but not to both.","Elements that belong to either set B or set C or both, but not to set A.","In a Venn diagram with three sets A, B, and C, if the complement of set A is taken, which of the following best describes the elements in the complement of set A?",Believes that the complement of a set in a triple Venn consists of the elements that only belong to one other set.
1027,Believes the median is the frequency for the middle category in a table,Median Calculation,Statistics,7,3,Consider the following frequency table for the number of books read by students in a class. What is the median number of books read?,Believes the median is the frequency for the middle category in a table
1034,believes the complement of a set consists of elements which only belong to one set,Complement of a Set,Set Theory,"\(\{1, 2, 5, 6\}\)","\(\{5, 6\}\)","If set \( A = \{1, 2, 3, 4\} \) and set \( B = \{3, 4, 5, 6\} \), what is the complement of set \( A \) with respect to set \( B \)?",Believes the complement of a set consists of elements which only belong to one set.
