QuestionId,MisconceptionId,CorrectAnswer,MisconceptionName,ConstructName,SubjectName,AnswerBText,AnswerAText,QuestionText,MisconceptionB
2202,869,A,Believes multiplying together prime factors that are not shared gives the highest common factor,Highest Common Factor (HCF),Number Theory,2,6,What is the highest common factor (HCF) of 18 and 24?,Believes multiplying together prime factors that are not shared gives the highest common factor.
2203,873,A,Believes that we cannot calculate the mean of negative numbers,Calculation of the mean of a set of numbers.  ,Arithmetic,Cannot be calculated,-5,"What is the mean of the numbers -3, -5, and -7?",Believes that we cannot calculate the mean of negative numbers
2204,881,A,adds all given dimensions when calculating area,Area of a rectangle. ,Geometry,13 square units,40 square units,"If a rectangle has a length of 8 units and a width of 5 units, what is the area of the rectangle?",Adds all given dimensions when calculating area
2205,883,A,"Believes mirror line must lie on a grid line, not in between grid lines",Reflection over a vertical line. ,Geometry,"(1, 4)","(2, 4)","In the coordinate plane, a point (3, 4) is reflected over a mirror line. If the mirror line is the vertical line x = 2.5, what are the coordinates of the reflected point?","Believes mirror line must lie on a grid line, not in between grid lines."
2206,884,A,"When asked for more, find the total",Perimeter of a rectangle. ,Geometry,96 units,40 units,"If a rectangle has a length of 12 units and a width of 8 units, what is the perimeter of the rectangle?","When asked for the perimeter, students might multiply the length and width instead of adding them."
2207,885,A,Thinks they can simplify algebraic fractions by cancelling unlike variables,Simplifying algebraic fractions.,Algebra,\(\frac{3 + 4}{2 + 3} = \frac{7}{5}\),The fraction cannot be simplified further.,Simplify the algebraic fraction \(\frac{3x + 4y}{2x + 3y}\).,Thinks they can simplify algebraic fractions by cancelling unlike variables.
2208,886,A,Believes that prime numbers cannot be even,Prime Numbers,Number Theory,4,2,Which of the following numbers is a prime number?,Believes that prime numbers cannot be even
2209,887,A,"When using interpolation to estimate frequency, assumes half the frequency of the class containing the value will be above/below it, even if it is not the midpoint",Linear Interpolation,Statistics,15,10,"A frequency distribution table shows that the class interval 10-20 contains the value 15. If the frequency of this class is 20, and we use linear interpolation to estimate the frequency at 15, what is the estimated frequency at 15?","When using interpolation to estimate frequency, assumes half the frequency of the class containing the value will be above/below it, even if it is not the midpoint."
2210,889,A,"Believes when you plot a sequence, the line always passes through (0, 0)",Sequence and Linear Functions,Algebra,"(0, 0)","(1, 3)","Consider the sequence defined by the formula \( a_n = 2n + 1 \). If you plot the first few terms of this sequence on a coordinate plane, which of the following points will the line pass through?","Believes when you plot a sequence, the line always passes through (0, 0)"
2211,892,A,Believes each vertical line on a box plot represents 1 piece of data,Understanding of box plots,Statistics,5 (each vertical line represents 1 piece of data),5,"In a box plot representing the test scores of a class, if there are 5 vertical lines, how many individual test scores are represented by these lines?",Believes each vertical line on a box plot represents 1 piece of data
2212,896,A,"When adding fractions with identical numerators, leaves the numerator and adds the denominators",Adding Fractions with Different Denominators,Arithmetic with Fractions,\(\frac{2}{8}\),\(\frac{16}{15}\),What is the result of adding the fractions \(\frac{2}{3} + \frac{2}{5}\)?,"When adding fractions with identical numerators, leaves the numerator and adds the denominators."
2213,897,A,Does not recognise an example of the alternate segment theorem,Alternate Segment Theorem,Geometry,70 degrees,35 degrees,"In the given circle, a tangent line touches the circle at point P. A chord is drawn from point P to another point Q on the circle. If the angle between the tangent and the chord is 35 degrees, what is the measure of the angle subtended by the chord PQ at the circumference of the circle?",Does not recognise an example of the alternate segment theorem
2214,899,A,Does not recognise parallel lines angle rules,Corresponding Angles Postulate. ,Geometry,110 degrees,70 degrees,"If two parallel lines are cut by a transversal, and one of the corresponding angles is 70 degrees, what is the measure of the corresponding angle on the other parallel line?",Does not recognise parallel lines angle rules
2215,903,A,"Has increased by the value of the first value, rather than the difference",Calculating Percentage Increase,Percentages and Proportions,25%,50%,"If the price of a product increased from $50 to $75, what is the percentage increase in the price?","Has increased by the value of the first value, rather than the difference."
2216,908,A,"When adding or subtracting surds, believes the numbers under the root and the numbers in front should both be added or subtracted",Simplifying Surds,Algebra,\( 4\sqrt{4} \),\( 4\sqrt{2} \),Simplify the expression \( 3\sqrt{2} + 2\sqrt{2} - \sqrt{2} \).,"When adding or subtracting surds, believes the numbers under the root and the numbers in front should both be added or subtracted."
2217,913,A,Believes the numerator stays the same when calculating a second pick of the same type without replacement on a tree diagram,Conditional Probability without Replacement,Probability,\(\frac{5}{11}\),\(\frac{4}{11}\),"A bag contains 5 red marbles and 7 blue marbles. If you draw one red marble without replacement and then draw another marble, what is the probability that the second marble is also red?",Believes the numerator stays the same when calculating a second pick of the same type without replacement on a tree diagram.
2218,916,A,Thinks the fraction bar means multiply rather than divide,Multiplication of Fractions,Arithmetic with Fractions,\( \frac{6}{20} \) (simplified to \( \frac{3}{10} \)),\( \frac{6}{20} \),What is the value of \( \frac{3}{4} \times \frac{2}{5} \)?,Thinks the fraction bar means multiply rather than divide.
2219,917,A,Believes every direct or inverse proportion question uses the formula p=kq,Understanding inverse proportion and its formula. ,Inverse Proportion,24,6,"If \( p \) and \( q \) are inversely proportional, and when \( p = 12 \), \( q = 3 \), what is the value of \( q \) when \( p = 6 \)?",Believes every direct or inverse proportion question uses the formula \( p = kq \).
2220,918,A,Confuses x and y axes,Intercepts of linear equations. ,Algebra,"(3, 0)","(0, 3)",What is the coordinate of the point where the line \( y = 2x + 3 \) intersects the y-axis?,Confuses x and y axes
2221,919,A,Believes the gradient of a speed-time graph is the distance,Interpretation of the gradient in speed-time graphs.  <|eot_id|>,Calculus,Distance,Acceleration,What does the gradient of a speed-time graph represent?,Believes the gradient of a speed-time graph is the distance
2222,920,A,Believes that the cumulative frequency of an interval of grouped data can be used as the cumulative frequency for any value in that interval,Cumulative Frequency in Grouped Data,Statistics,25,45,"In a frequency distribution table, the cumulative frequency for the interval 20-30 is 45. If a value within this interval is 25, what is the cumulative frequency for this value?",Believes that the cumulative frequency of an interval of grouped data can be used as the cumulative frequency for any value in that interval.
2223,921,A,Reads the wrong scale on the protractor when measuring acute angles,Measuring angles with a protractor. ,Geometry,145掳,35掳,What is the measure of the angle shown in the diagram below?,Reads the wrong scale on the protractor when measuring acute angles
2224,928,A,Divides when converting to a larger unit,Conversion between milliliters and liters. ,Measurement and Conversion,5000 liters,0.5 liters,"If you have 500 milliliters of water and you want to convert it to liters, what is the correct conversion?",Divides when converting to a larger unit
2225,929,A,"When using the capture-recapture method of sampling, believes you add the number marked first to the number caught second and add that to the number marked second to get the best estimate of population size",Capture-Recapture Method,Statistics and Probability,120,300,"A wildlife researcher uses the capture-recapture method to estimate the population of a species in a forest. In the first capture, 50 animals were marked and released. In the second capture, 60 animals were caught, and 10 of them were found to be marked. What is the best estimate of the total population size in the forest?","When using the capture-recapture method of sampling, believes you add the number marked first to the number caught second and add that to the number marked second to get the best estimate of population size."
