MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerAText,AnswerBText,QuestionText,MisconceptionB
1596,Has found the total as a percentage of the amount being asked,Applying Percentage Changes Sequentially,Percentages and Ratios,66%,50%,"If a store increases its inventory by 20% and then sells 30% of the new total, what percentage of the original inventory remains?","Has found the total as a percentage of the amount being asked, assuming that after increasing by 20% and selling 30%, the remaining percentage would simply be 70% of the new total, not considering the initial increase."
1603,Confuses displacement-time graphs with velocity-time graphs,Understanding the relationship between displacement-time and velocity-time graphs.,Calculus.,"The graph that shows a straight line increasing from left to right, starting from the origin.",The graph that looks like a parabola opening upwards.,A particle moves along a straight line. Its position \(s\) (in meters) at time \(t\) (in seconds) is given by the function \(s(t) = 4t^2 - 3t + 2\). Which graph correctly represents the velocity of the particle over time?,Confuses displacement-time graphs with velocity-time graphs.
1607,Believes the gradient of perpendicular lines just have opposite signs,Understanding the relationship between slopes of perpendicular lines,Coordinate Geometry,-1/2,-2,"If line L has a slope of 2, what is the slope of a line perpendicular to line L?",Believes the gradient of perpendicular lines just have opposite signs
1609,Believes the decimal point button writes a fraction,Understanding Decimal Representation and Operations,Arithmetic Operations with Decimals,The result will be the same as 0.75 × 4.,"The result will be different because the calculator interprets ""75 ÷ 100"" as a fraction.","If a student multiplies 0.75 by 4 using a calculator and inputs ""75 ÷ 100 × 4"" instead of ""0.75 × 4"", what will be the result on the calculator?",Believes the decimal point button writes a fraction.
1612,Confuses the shaded and unshaded regions on an inequality diagram,Understanding Inequality Graphs and Shading,Algebra,"(-3, 0)","(0, -1), (2, 3)","Consider the inequality graph where x > -2 is represented. If a student shades the region to the left of the line x = -2 instead of to the right, which of the following points could the student incorrectly believe lies within the solution set?",Confuses the shaded and unshaded regions on an inequality diagram
1613,Believes constructing a triangle with given SAS requires a compass,Triangle Construction - Side Angle Side (SAS),Geometry,Compass,Calculator,"To construct a triangle with sides of lengths 5 cm, 7 cm, and the included angle of 60 degrees, which tool is essential besides a ruler and protractor?",Believes constructing a triangle with given SAS requires a compass
1615,Does not know the symbol for proportionality ,Direct Variation,Algebra,\( y = 4x \),\( y = x + 9 \),"If \( y \) varies directly as \( x \), and \( y = 12 \) when \( x = 3 \), which of the following represents the relationship between \( y \) and \( x \)?",Does not know the symbol for proportionality.
1617,Believes a reciprocal equation will have a linear graph,Understanding of Graph Types and Equations,Algebra,\(y = \frac{1}{x}\),\(y = x + 3\),Which of the following equations represents a function whose graph is not linear?,Believes a reciprocal equation will have a linear graph
1620,Believes zero cannot be raised to a power,Understanding of Exponentiation with Zero Base,Algebra,0,Undefined,What is \(0^5\)?,Believes zero cannot be raised to a power
1624,Multiplies the number of whole units by the numerator when converting from a mixed number to an improper fraction,Converting Mixed Numbers to Improper Fractions,Fractions,17/5,6/5,Convert the mixed number 3 2/5 into an improper fraction.,Multiplies the number of whole units by the numerator when converting from a mixed number to an improper fraction
1625,Uses difference as index instead of coefficient in nth term rule,nth Term Rule for Arithmetic Sequences,Arithmetic Sequences,19,23,Find the 5th term of the arithmetic sequence where the first term is 3 and the common difference is 4.,Uses difference as index instead of coefficient in nth term rule
1627,Believes ratios can be combined without equalizing common terms,Combining ratios with equalized terms,Ratios and Proportions,Cannot be determined without knowing the actual number of students in each classroom.,8:10 (Combining ratios without equalizing common terms),"If the ratio of boys to girls in one classroom is 3:4 and in another classroom is 5:6, what is the combined ratio of boys to girls if both classrooms are merged?",Believes ratios can be combined without equalizing common terms
1629,writes the remainder as the divisor divided by 10,Understanding Remainders in Division,Division with Remainders,5,0.8,What is the remainder when 45 is divided by 8?,Writes the remainder as the divisor divided by 10
1634,"When performing mental multiplication, multiplies accurately by a multiple of 10 but then does not know how to adjust their answer ",Multiplication by multiples of 10,Arithmetic,1200,120,"If you multiply 30 x 40, what is the correct product?","When performing mental multiplication, multiplies accurately by a multiple of 10 but then does not know how to adjust their answer"
1638,Counts repeated factors as two separate factors,Counting Factors Correctly Without Repetition,Number Theory,6,9,How many different factors does the number 18 have?,Counts repeated factors as two separate factors
